Continent,Region,Country,Value,Type,Year_
Europe,European Union (EU),Austria,365.0,Exports,2013
Europe,European Union (EU),Belgium,2064.0,Exports,2013
Europe,European Union (EU),Bulgaria,93.0,Exports,2013
Europe,European Union (EU),Croatia,45.0,Exports,2013
Europe,European Union (EU),Cyprus,456.0,Exports,2013
Europe,European Union (EU),Czechia,351.0,Exports,2013
Europe,European Union (EU),Denmark,1539.0,Exports,2013
Europe,European Union (EU),Estonia,30.0,Exports,2013
Europe,European Union (EU),Finland,624.0,Exports,2013
Europe,European Union (EU),France,4798.0,Exports,2013
Europe,European Union (EU),Germany,7490.0,Exports,2013
Europe,European Union (EU),Greece,438.0,Exports,2013
Europe,European Union (EU),Hungary,248.0,Exports,2013
Europe,European Union (EU),Ireland,6697.0,Exports,2013
Europe,European Union (EU),Italy,2411.0,Exports,2013
Europe,European Union (EU),Latvia,46.0,Exports,2013
Europe,European Union (EU),Lithuania,61.0,Exports,2013
Europe,European Union (EU),Luxembourg,2090.0,Exports,2013
Europe,European Union (EU),Malta,265.0,Exports,2013
Europe,European Union (EU),Netherlands,5584.0,Exports,2013
Europe,European Union (EU),Poland,679.0,Exports,2013
Europe,European Union (EU),Portugal,474.0,Exports,2013
Europe,European Union (EU),Romania,242.0,Exports,2013
Europe,European Union (EU),Slovakia,205.0,Exports,2013
Europe,European Union (EU),Slovenia,0.0,Exports,2013
Europe,European Union (EU),Spain,1863.0,Exports,2013
Europe,European Union (EU),Sweden,1930.0,Exports,2013
Europe,European Free Trade Association (EFTA),Iceland,74.0,Exports,2013
Europe,European Free Trade Association (EFTA),Liechtenstein,32.0,Exports,2013
Europe,European Free Trade Association (EFTA),Norway,2194.0,Exports,2013
Europe,European Free Trade Association (EFTA),Switzerland,7712.0,Exports,2013
Europe,Other Europe,Russia,944.0,Exports,2013
Europe,Other Europe,Isle Of Man,93.0,Exports,2013
Europe,Other Europe,Turkey,564.0,Exports,2013
Europe,Other Europe,Rest Of Europe,622.0,Exports,2013
Europe,Other Europe,Europe Unallocated,1924.0,Exports,2013
America,America,Brazil,819.0,Exports,2013
America,America,Canada,1815.0,Exports,2013
America,America,Mexico,224.0,Exports,2013
America,America,USA,26504.0,Exports,2013
America,America,Rest Of America,3182.0,Exports,2013
America,America,America Unallocated,371.0,Exports,2013
Asia,Asia,China,1180.0,Exports,2013
Asia,Asia,Hong Kong,895.0,Exports,2013
Asia,Asia,India,863.0,Exports,2013
Asia,Asia,Indonesia,167.0,Exports,2013
Asia,Asia,Israel,329.0,Exports,2013
Asia,Asia,Japan,2140.0,Exports,2013
