Continent,Region,Country,Value,Type,Year_
Europe,European Union (EU),Austria,245.0,Imports,2013
Europe,European Union (EU),Belgium,1199.0,Imports,2013
Europe,European Union (EU),Bulgaria,87.0,Imports,2013
Europe,European Union (EU),Croatia,25.0,Imports,2013
Europe,European Union (EU),Cyprus,285.0,Imports,2013
Europe,European Union (EU),Czechia,243.0,Imports,2013
Europe,European Union (EU),Denmark,563.0,Imports,2013
Europe,European Union (EU),Estonia,29.0,Imports,2013
Europe,European Union (EU),Finland,229.0,Imports,2013
Europe,European Union (EU),France,3274.0,Imports,2013
Europe,European Union (EU),Germany,4736.0,Imports,2013
Europe,European Union (EU),Greece,152.0,Imports,2013
Europe,European Union (EU),Hungary,196.0,Imports,2013
Europe,European Union (EU),Ireland,4084.0,Imports,2013
Europe,European Union (EU),Italy,1324.0,Imports,2013
Europe,European Union (EU),Latvia,25.0,Imports,2013
Europe,European Union (EU),Lithuania,24.0,Imports,2013
Europe,European Union (EU),Luxembourg,1404.0,Imports,2013
Europe,European Union (EU),Malta,65.0,Imports,2013
Europe,European Union (EU),Netherlands,2727.0,Imports,2013
Europe,European Union (EU),Poland,521.0,Imports,2013
Europe,European Union (EU),Portugal,195.0,Imports,2013
Europe,European Union (EU),Romania,125.0,Imports,2013
Europe,European Union (EU),Slovakia,83.0,Imports,2013
Europe,European Union (EU),Slovenia,0.0,Imports,2013
Europe,European Union (EU),Spain,1305.0,Imports,2013
Europe,European Union (EU),Sweden,1183.0,Imports,2013
Europe,European Free Trade Association (EFTA),Iceland,9.0,Imports,2013
Europe,European Free Trade Association (EFTA),Liechtenstein,3.0,Imports,2013
Europe,European Free Trade Association (EFTA),Norway,459.0,Imports,2013
Europe,European Free Trade Association (EFTA),Switzerland,2179.0,Imports,2013
Europe,Other Europe,Russia,390.0,Imports,2013
Europe,Other Europe,Isle Of Man,13.0,Imports,2013
Europe,Other Europe,Turkey,188.0,Imports,2013
Europe,Other Europe,Rest Of Europe,241.0,Imports,2013
Europe,Other Europe,Europe Unallocated,1303.0,Imports,2013
America,America,Brazil,140.0,Imports,2013
America,America,Canada,760.0,Imports,2013
America,America,Mexico,43.0,Imports,2013
America,America,USA,11642.0,Imports,2013
America,America,Rest Of America,697.0,Imports,2013
America,America,America Unallocated,54.0,Imports,2013
Asia,Asia,China,591.0,Imports,2013
Asia,Asia,Hong Kong,638.0,Imports,2013
Asia,Asia,India,1355.0,Imports,2013
Asia,Asia,Indonesia,43.0,Imports,2013
Asia,Asia,Israel,363.0,Imports,2013
Asia,Asia,Japan,1238.0,Imports,2013
Asia,Asia,Malaysia,60.0,Imports,2013
Asia,Asia,Pakistan,106.0,Imports,2013
Asia,Asia,Philippines,121.0,Imports,2013
Asia,Asia,Saudi Arabia,113.0,Imports,2013
Asia,Asia,Singapore,1192.0,Imports,2013
Asia,Asia,South Korea,203.0,Imports,2013
Asia,Asia,Taiwan,87.0,Imports,2013
Asia,Asia,Thailand,57.0,Imports,2013
Asia,Asia,Rest Of Asia,1452.0,Imports,2013
Asia,Asia,Asia Unallocated,418.0,Imports,2013
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Australia,0.0,Imports,2013
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",New Zealand,75.0,Imports,2013
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Rest Of Australia And Oceania,0.0,Imports,2013
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Oceania Unallocated,0.0,Imports,2013
Africa,Africa,Nigeria,297.0,Imports,2013
Africa,Africa,South Africa,332.0,Imports,2013
Africa,Africa,Rest Of Africa,637.0,Imports,2013
Africa,Africa,Africa Unallocated,239.0,Imports,2013
Europe,European Union (EU),Austria,380.0,Imports,2014
Europe,European Union (EU),Belgium,1010.0,Imports,2014
Europe,European Union (EU),Bulgaria,57.0,Imports,2014
Europe,European Union (EU),Croatia,16.0,Imports,2014
Europe,European Union (EU),Cyprus,141.0,Imports,2014
Europe,European Union (EU),Czechia,178.0,Imports,2014
Europe,European Union (EU),Denmark,713.0,Imports,2014
Europe,European Union (EU),Estonia,25.0,Imports,2014
Europe,European Union (EU),Finland,216.0,Imports,2014
Europe,European Union (EU),France,3586.0,Imports,2014
Europe,European Union (EU),Germany,5287.0,Imports,2014
Europe,European Union (EU),Greece,111.0,Imports,2014
Europe,European Union (EU),Hungary,178.0,Imports,2014
Europe,European Union (EU),Ireland,3335.0,Imports,2014
Europe,European Union (EU),Italy,1542.0,Imports,2014
Europe,European Union (EU),Latvia,15.0,Imports,2014
Europe,European Union (EU),Lithuania,26.0,Imports,2014
Europe,European Union (EU),Luxembourg,1693.0,Imports,2014
Europe,European Union (EU),Malta,55.0,Imports,2014
Europe,European Union (EU),Netherlands,2393.0,Imports,2014
Europe,European Union (EU),Poland,506.0,Imports,2014
Europe,European Union (EU),Portugal,277.0,Imports,2014
Europe,European Union (EU),Romania,153.0,Imports,2014
Europe,European Union (EU),Slovakia,82.0,Imports,2014
Europe,European Union (EU),Slovenia,0.0,Imports,2014
Europe,European Union (EU),Spain,1392.0,Imports,2014
Europe,European Union (EU),Sweden,1167.0,Imports,2014
Europe,European Free Trade Association (EFTA),Iceland,24.0,Imports,2014
Europe,European Free Trade Association (EFTA),Liechtenstein,2.0,Imports,2014
Europe,European Free Trade Association (EFTA),Norway,466.0,Imports,2014
Europe,European Free Trade Association (EFTA),Switzerland,1791.0,Imports,2014
Europe,Other Europe,Russia,288.0,Imports,2014
Europe,Other Europe,Isle Of Man,14.0,Imports,2014
Europe,Other Europe,Turkey,127.0,Imports,2014
